Actividades según jerarquía (CNAE-2009);Índice y tasas;Periodo;Total
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M10;107,934
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M09;105,403
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M08;102,135
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M07;118,903
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M06;112,291
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M05;106,257
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M04;105,123
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M03;110,859
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M02;98,029
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M01;114,549
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M12;135,659
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M11;103,771
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M10;111,933
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M09;109,518
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M08;104,440
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M07;122,404
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M06;110,282
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M05;106,573
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M04;106,105
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M03;104,973
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M02;97,520
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2009M01;118,129
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M12;135,813
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M11;107,580
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M10;116,473
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M09;113,936
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M08;109,464
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M07;128,668
